Date,Year,Month,State,Vehicle_Category,EV_Sales
2021-01-01,2021,1,Delhi,Electric 2W,2300
2021-01-01,2021,1,Delhi,Electric 3W,2100
2021-01-01,2021,1,Delhi,Electric 4W,700
2021-01-01,2021,1,Karnataka,Electric 2W,3100
2021-01-01,2021,1,Karnataka,Electric 3W,1200
2021-01-01,2021,1,Karnataka,Electric 4W,640
2021-01-01,2021,1,Maharashtra,Electric 2W,4200
2021-01-01,2021,1,Maharashtra,Electric 3W,1800
2021-01-01,2021,1,Maharashtra,Electric 4W,850
2021-01-01,2021,1,Uttar Pradesh,Electric 2W,2700
2021-01-01,2021,1,Uttar Pradesh,Electric 3W,2500
2021-01-01,2021,1,Uttar Pradesh,Electric 4W,500
2021-02-01,2021,2,Delhi,Electric 2W,2450
2021-02-01,2021,2,Delhi,Electric 3W,2250
2021-02-01,2021,2,Delhi,Electric 4W,760
2021-02-01,2021,2,Karnataka,Electric 2W,3280
2021-02-01,2021,2,Karnataka,Electric 3W,1320
2021-02-01,2021,2,Karnataka,Electric 4W,690
2021-02-01,2021,2,Maharashtra,Electric 2W,4450
2021-02-01,2021,2,Maharashtra,Electric 3W,1900
2021-02-01,2021,2,Maharashtra,Electric 4W,890
2021-02-01,2021,2,Uttar Pradesh,Electric 2W,2850
2021-02-01,2021,2,Uttar Pradesh,Electric 3W,2630
2021-02-01,2021,2,Uttar Pradesh,Electric 4W,540
2021-03-01,2021,3,Delhi,Electric 2W,2860
2021-03-01,2021,3,Delhi,Electric 3W,2490
2021-03-01,2021,3,Delhi,Electric 4W,840
2021-03-01,2021,3,Karnataka,Electric 2W,3740
2021-03-01,2021,3,Karnataka,Electric 3W,1500
2021-03-01,2021,3,Karnataka,Electric 4W,780
2021-03-01,2021,3,Maharashtra,Electric 2W,5100
2021-03-01,2021,3,Maharashtra,Electric 3W,2200
2021-03-01,2021,3,Maharashtra,Electric 4W,1010
2021-03-01,2021,3,Uttar Pradesh,Electric 2W,3300
2021-03-01,2021,3,Uttar Pradesh,Electric 3W,2920
2021-03-01,2021,3,Uttar Pradesh,Electric 4W,610
2021-04-01,2021,4,Delhi,Electric 2W,2700
2021-04-01,2021,4,Delhi,Electric 3W,2400
2021-04-01,2021,4,Delhi,Electric 4W,810
2021-04-01,2021,4,Karnataka,Electric 2W,3600
2021-04-01,2021,4,Karnataka,Electric 3W,1450
2021-04-01,2021,4,Karnataka,Electric 4W,740
2021-04-01,2021,4,Maharashtra,Electric 2W,4900
2021-04-01,2021,4,Maharashtra,Electric 3W,2080
2021-04-01,2021,4,Maharashtra,Electric 4W,960
2021-04-01,2021,4,Uttar Pradesh,Electric 2W,3180
2021-04-01,2021,4,Uttar Pradesh,Electric 3W,2810
2021-04-01,2021,4,Uttar Pradesh,Electric 4W,590
2021-05-01,2021,5,Delhi,Electric 2W,3020
2021-05-01,2021,5,Delhi,Electric 3W,2580
2021-05-01,2021,5,Delhi,Electric 4W,900
2021-05-01,2021,5,Karnataka,Electric 2W,3900
2021-05-01,2021,5,Karnataka,Electric 3W,1600
2021-05-01,2021,5,Karnataka,Electric 4W,830
2021-05-01,2021,5,Maharashtra,Electric 2W,5300
2021-05-01,2021,5,Maharashtra,Electric 3W,2300
2021-05-01,2021,5,Maharashtra,Electric 4W,1080
2021-05-01,2021,5,Uttar Pradesh,Electric 2W,3450
2021-05-01,2021,5,Uttar Pradesh,Electric 3W,3050
2021-05-01,2021,5,Uttar Pradesh,Electric 4W,660
2021-06-01,2021,6,Delhi,Electric 2W,3250
2021-06-01,2021,6,Delhi,Electric 3W,2790
2021-06-01,2021,6,Delhi,Electric 4W,980
2021-06-01,2021,6,Karnataka,Electric 2W,4200
2021-06-01,2021,6,Karnataka,Electric 3W,1750
2021-06-01,2021,6,Karnataka,Electric 4W,900
2021-06-01,2021,6,Maharashtra,Electric 2W,5700
2021-06-01,2021,6,Maharashtra,Electric 3W,2500
2021-06-01,2021,6,Maharashtra,Electric 4W,1150
2021-06-01,2021,6,Uttar Pradesh,Electric 2W,3740
2021-06-01,2021,6,Uttar Pradesh,Electric 3W,3300
2021-06-01,2021,6,Uttar Pradesh,Electric 4W,720
2021-07-01,2021,7,Delhi,Electric 2W,3400
2021-07-01,2021,7,Delhi,Electric 3W,2920
2021-07-01,2021,7,Delhi,Electric 4W,1040
2021-07-01,2021,7,Karnataka,Electric 2W,4450
2021-07-01,2021,7,Karnataka,Electric 3W,1880
2021-07-01,2021,7,Karnataka,Electric 4W,960
2021-07-01,2021,7,Maharashtra,Electric 2W,6000
2021-07-01,2021,7,Maharashtra,Electric 3W,2650
2021-07-01,2021,7,Maharashtra,Electric 4W,1220
2021-07-01,2021,7,Uttar Pradesh,Electric 2W,3980
2021-07-01,2021,7,Uttar Pradesh,Electric 3W,3500
2021-07-01,2021,7,Uttar Pradesh,Electric 4W,790
2021-08-01,2021,8,Delhi,Electric 2W,3620
2021-08-01,2021,8,Delhi,Electric 3W,3100
2021-08-01,2021,8,Delhi,Electric 4W,1100
2021-08-01,2021,8,Karnataka,Electric 2W,4720
2021-08-01,2021,8,Karnataka,Electric 3W,2020
2021-08-01,2021,8,Karnataka,Electric 4W,1030
2021-08-01,2021,8,Maharashtra,Electric 2W,6350
2021-08-01,2021,8,Maharashtra,Electric 3W,2820
2021-08-01,2021,8,Maharashtra,Electric 4W,1300
2021-08-01,2021,8,Uttar Pradesh,Electric 2W,4220
2021-08-01,2021,8,Uttar Pradesh,Electric 3W,3710
2021-08-01,2021,8,Uttar Pradesh,Electric 4W,850
2021-09-01,2021,9,Delhi,Electric 2W,3890
2021-09-01,2021,9,Delhi,Electric 3W,3300
2021-09-01,2021,9,Delhi,Electric 4W,1180
2021-09-01,2021,9,Karnataka,Electric 2W,5050
2021-09-01,2021,9,Karnataka,Electric 3W,2200
2021-09-01,2021,9,Karnataka,Electric 4W,1110
2021-09-01,2021,9,Maharashtra,Electric 2W,6800
2021-09-01,2021,9,Maharashtra,Electric 3W,3000
2021-09-01,2021,9,Maharashtra,Electric 4W,1380
2021-09-01,2021,9,Uttar Pradesh,Electric 2W,4550
2021-09-01,2021,9,Uttar Pradesh,Electric 3W,3920
2021-09-01,2021,9,Uttar Pradesh,Electric 4W,930
2021-10-01,2021,10,Delhi,Electric 2W,4350
2021-10-01,2021,10,Delhi,Electric 3W,3700
2021-10-01,2021,10,Delhi,Electric 4W,1320
2021-10-01,2021,10,Karnataka,Electric 2W,5650
2021-10-01,2021,10,Karnataka,Electric 3W,2500
2021-10-01,2021,10,Karnataka,Electric 4W,1240
2021-10-01,2021,10,Maharashtra,Electric 2W,7600
2021-10-01,2021,10,Maharashtra,Electric 3W,3350
2021-10-01,2021,10,Maharashtra,Electric 4W,1520
2021-10-01,2021,10,Uttar Pradesh,Electric 2W,5120
2021-10-01,2021,10,Uttar Pradesh,Electric 3W,4400
2021-10-01,2021,10,Uttar Pradesh,Electric 4W,1060
2021-11-01,2021,11,Delhi,Electric 2W,4720
2021-11-01,2021,11,Delhi,Electric 3W,3960
2021-11-01,2021,11,Delhi,Electric 4W,1450
2021-11-01,2021,11,Karnataka,Electric 2W,6200
2021-11-01,2021,11,Karnataka,Electric 3W,2750
2021-11-01,2021,11,Karnataka,Electric 4W,1380
2021-11-01,2021,11,Maharashtra,Electric 2W,8300
2021-11-01,2021,11,Maharashtra,Electric 3W,3600
2021-11-01,2021,11,Maharashtra,Electric 4W,1680
2021-11-01,2021,11,Uttar Pradesh,Electric 2W,5600
2021-11-01,2021,11,Uttar Pradesh,Electric 3W,4750
2021-11-01,2021,11,Uttar Pradesh,Electric 4W,1180
