Date,Year,Month,State,Vehicle_Category,EV_Sales,Quarter,Month_Name,Year_Month,Lag_1,Lag_2,Lag_3,Rolling_3,Rolling_STD_3,MoM_Growth
2021-01-01,2021,1,Delhi,Electric 2W,2300,1,January,2021-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,2021,2,Delhi,Electric 2W,2450,1,February,2021-02,2300.0,0.0,0.0,0.0,0.0,6.521739130434789
2021-03-01,2021,3,Delhi,Electric 2W,2860,1,March,2021-03,2450.0,2300.0,0.0,2536.6666666666665,289.88503468329196,16.73469387755102
2021-04-01,2021,4,Delhi,Electric 2W,2700,2,April,2021-04,2860.0,2450.0,2300.0,2670.0,206.6397831977184,-5.594405594405593
2021-05-01,2021,5,Delhi,Electric 2W,3020,2,May,2021-05,2700.0,2860.0,2450.0,2860.0,160.0000000000002,11.851851851851848
2021-06-01,2021,6,Delhi,Electric 2W,3250,2,June,2021-06,3020.0,2700.0,2860.0,2990.0,276.2245463386628,7.615894039735105
2021-07-01,2021,7,Delhi,Electric 2W,3400,3,July,2021-07,3250.0,3020.0,2700.0,3223.3333333333335,191.39836293274132,4.615384615384621
2021-08-01,2021,8,Delhi,Electric 2W,3620,3,August,2021-08,3400.0,3250.0,3020.0,3423.3333333333335,186.10033136277144,6.470588235294117
2021-09-01,2021,9,Delhi,Electric 2W,3890,3,September,2021-09,3620.0,3400.0,3250.0,3636.6666666666665,245.4248017893329,7.458563535911611
2021-10-01,2021,10,Delhi,Electric 2W,4350,4,October,2021-10,3890.0,3620.0,3400.0,3953.3333333333335,369.09799963334035,11.825192802056561
2021-11-01,2021,11,Delhi,Electric 2W,4720,4,November,2021-11,4350.0,3890.0,3620.0,4320.0,415.81245772583577,8.505747126436791
2021-12-01,2021,12,Delhi,Electric 2W,5000,4,December,2021-12,4720.0,4350.0,3890.0,4690.0,326.03680773802205,5.932203389830515
2022-01-01,2022,1,Delhi,Electric 2W,4200,1,January,2022-01,5000.0,4720.0,4350.0,4640.0,405.9556626036887,-16.000000000000004
2022-02-01,2022,2,Delhi,Electric 2W,4450,1,February,2022-02,4200.0,5000.0,4720.0,4550.0,409.26763859362245,5.952380952380953
2022-03-01,2022,3,Delhi,Electric 2W,5050,1,March,2022-03,4450.0,4200.0,5000.0,4566.666666666667,436.844747402705,13.483146067415742
2022-04-01,2022,4,Delhi,Electric 2W,4820,2,April,2022-04,5050.0,4450.0,4200.0,4773.333333333333,302.70998221620164,-4.5544554455445585
2022-05-01,2022,5,Delhi,Electric 2W,5300,2,May,2022-05,4820.0,5050.0,4450.0,5056.666666666667,240.06943440041076,9.958506224066399
2022-06-01,2022,6,Delhi,Electric 2W,5700,2,June,2022-06,5300.0,4820.0,5050.0,5273.333333333333,440.605643782888,7.547169811320753
2022-07-01,2022,7,Delhi,Electric 2W,6100,3,July,2022-07,5700.0,5300.0,4820.0,5700.0,399.99999999999994,7.017543859649122
2022-08-01,2022,8,Delhi,Electric 2W,6550,3,August,2022-08,6100.0,5700.0,5300.0,6116.666666666667,425.24502740576895,7.377049180327866
2022-09-01,2022,9,Delhi,Electric 2W,7050,3,September,2022-09,6550.0,6100.0,5700.0,6566.666666666667,475.2192476461081,7.6335877862595325
2022-10-01,2022,10,Delhi,Electric 2W,7900,4,October,2022-10,7050.0,6550.0,6100.0,7166.666666666667,682.5198409814419,12.056737588652489
2022-11-01,2022,11,Delhi,Electric 2W,8500,4,November,2022-11,7900.0,7050.0,6550.0,7816.666666666667,728.5830998131459,7.594936708860756
2022-12-01,2022,12,Delhi,Electric 2W,9100,4,December,2022-12,8500.0,7900.0,7050.0,8500.0,599.9999999999991,7.058823529411762
2021-01-01,2021,1,Delhi,Electric 3W,2100,1,January,2021-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,2021,2,Delhi,Electric 3W,2250,1,February,2021-02,2100.0,0.0,0.0,0.0,0.0,7.14285714285714
2021-03-01,2021,3,Delhi,Electric 3W,2490,1,March,2021-03,2250.0,2100.0,0.0,2280.0,196.72315572906,10.666666666666668
2021-04-01,2021,4,Delhi,Electric 3W,2400,2,April,2021-04,2490.0,2250.0,2100.0,2380.0,121.2435565298214,-3.6144578313253017
2021-05-01,2021,5,Delhi,Electric 3W,2580,2,May,2021-05,2400.0,2490.0,2250.0,2490.0,90.0,7.499999999999996
2021-06-01,2021,6,Delhi,Electric 3W,2790,2,June,2021-06,2580.0,2400.0,2490.0,2590.0,195.19221295943134,8.139534883720923
2021-07-01,2021,7,Delhi,Electric 3W,2920,3,July,2021-07,2790.0,2580.0,2400.0,2763.3333333333335,171.56145643277023,4.659498207885315
2021-08-01,2021,8,Delhi,Electric 3W,3100,3,August,2021-08,2920.0,2790.0,2580.0,2936.6666666666665,155.67059238447482,6.164383561643838
2021-09-01,2021,9,Delhi,Electric 3W,3300,3,September,2021-09,3100.0,2920.0,2790.0,3106.6666666666665,190.0876990584434,6.451612903225801
2021-10-01,2021,10,Delhi,Electric 3W,3700,4,October,2021-10,3300.0,3100.0,2920.0,3366.6666666666665,305.50504633038946,12.12121212121211
2021-11-01,2021,11,Delhi,Electric 3W,3960,4,November,2021-11,3700.0,3300.0,3100.0,3653.3333333333335,332.46553706111166,7.027027027027022
2021-12-01,2021,12,Delhi,Electric 3W,4200,4,December,2021-12,3960.0,3700.0,3300.0,3953.3333333333335,250.06665778014738,6.060606060606055
2022-01-01,2022,1,Delhi,Electric 3W,3600,1,January,2022-01,4200.0,3960.0,3700.0,3920.0,301.99337741082996,-14.28571428571429
2022-02-01,2022,2,Delhi,Electric 3W,3780,1,February,2022-02,3600.0,4200.0,3960.0,3860.0,307.89608636681305,5.000000000000004
2022-03-01,2022,3,Delhi,Electric 3W,4250,1,March,2022-03,3780.0,3600.0,4200.0,3876.6666666666665,335.6088993655165,12.43386243386244
2022-04-01,2022,4,Delhi,Electric 3W,4080,2,April,2022-04,4250.0,3780.0,3600.0,4036.6666666666665,237.9775899813539,-4.0000000000000036
2022-05-01,2022,5,Delhi,Electric 3W,4450,2,May,2022-05,4080.0,4250.0,3780.0,4260.0,185.20259177452158,9.068627450980383
2022-06-01,2022,6,Delhi,Electric 3W,4820,2,June,2022-06,4450.0,4080.0,4250.0,4450.0,370.0000000000001,8.314606741573026
2022-07-01,2022,7,Delhi,Electric 3W,5100,3,July,2022-07,4820.0,4450.0,4080.0,4790.0,326.0368077380223,5.809128630705396
2022-08-01,2022,8,Delhi,Electric 3W,5450,3,August,2022-08,5100.0,4820.0,4450.0,5123.333333333333,315.64748269760287,6.8627450980392135
2022-09-01,2022,9,Delhi,Electric 3W,5850,3,September,2022-09,5450.0,5100.0,4820.0,5466.666666666667,375.2776749732569,7.339449541284404
2022-10-01,2022,10,Delhi,Electric 3W,6500,4,October,2022-10,5850.0,5450.0,5100.0,5933.333333333333,529.937103186155,11.111111111111116
2022-11-01,2022,11,Delhi,Electric 3W,6950,4,November,2022-11,6500.0,5850.0,5450.0,6433.333333333333,553.0220007679023,6.923076923076921
2022-12-01,2022,12,Delhi,Electric 3W,7350,4,December,2022-12,6950.0,6500.0,5850.0,6933.333333333333,425.24502740576986,5.755395683453246
2021-01-01,2021,1,Delhi,Electric 4W,700,1,January,2021-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,2021,2,Delhi,Electric 4W,760,1,February,2021-02,700.0,0.0,0.0,0.0,0.0,8.571428571428562
2021-03-01,2021,3,Delhi,Electric 4W,840,1,March,2021-03,760.0,700.0,0.0,766.6666666666666,70.23769168568494,10.526315789473696
2021-04-01,2021,4,Delhi,Electric 4W,810,2,April,2021-04,840.0,760.0,700.0,803.3333333333334,40.414518843273854,-3.57142857142857
2021-05-01,2021,5,Delhi,Electric 4W,900,2,May,2021-05,810.0,840.0,760.0,850.0,45.82575694955843,11.111111111111116
2021-06-01,2021,6,Delhi,Electric 4W,980,2,June,2021-06,900.0,810.0,840.0,896.6666666666666,85.04900548115386,8.888888888888879
2021-07-01,2021,7,Delhi,Electric 4W,1040,3,July,2021-07,980.0,900.0,810.0,973.3333333333334,70.23769168568496,6.1224489795918435
2021-08-01,2021,8,Delhi,Electric 4W,1100,3,August,2021-08,1040.0,980.0,900.0,1040.0,60.000000000000036,5.769230769230771
2021-09-01,2021,9,Delhi,Electric 4W,1180,3,September,2021-09,1100.0,1040.0,980.0,1106.6666666666667,70.23769168568492,7.272727272727275
2021-10-01,2021,10,Delhi,Electric 4W,1320,4,October,2021-10,1180.0,1100.0,1040.0,1200.0,111.35528725660042,11.864406779661007
2021-11-01,2021,11,Delhi,Electric 4W,1450,4,November,2021-11,1320.0,1180.0,1100.0,1316.6666666666667,135.0308606701939,9.84848484848484
2021-12-01,2021,12,Delhi,Electric 4W,1520,4,December,2021-12,1450.0,1320.0,1180.0,1430.0,101.4889156509221,4.827586206896561
2022-01-01,2022,1,Delhi,Electric 4W,1300,1,January,2022-01,1520.0,1450.0,1320.0,1423.3333333333333,112.39810200058231,-14.473684210526317
2022-02-01,2022,2,Delhi,Electric 4W,1380,1,February,2022-02,1300.0,1520.0,1450.0,1400.0,111.3552872566003,6.153846153846154
2022-03-01,2022,3,Delhi,Electric 4W,1580,1,March,2022-03,1380.0,1300.0,1520.0,1420.0,144.22205101855948,14.492753623188403
2022-04-01,2022,4,Delhi,Electric 4W,1510,2,April,2022-04,1580.0,1380.0,1300.0,1490.0,101.48891565092205,-4.430379746835444
2022-05-01,2022,5,Delhi,Electric 4W,1680,2,May,2022-05,1510.0,1580.0,1380.0,1590.0,85.44003745317514,11.258278145695355
2022-06-01,2022,6,Delhi,Electric 4W,1800,2,June,2022-06,1680.0,1510.0,1580.0,1663.3333333333333,145.7166199626292,7.14285714285714
2022-07-01,2022,7,Delhi,Electric 4W,1920,3,July,2022-07,1800.0,1680.0,1510.0,1800.0,119.99999999999994,6.666666666666665
2022-08-01,2022,8,Delhi,Electric 4W,2080,3,August,2022-08,1920.0,1800.0,1680.0,1933.3333333333333,140.47538337136984,8.333333333333325
2022-09-01,2022,9,Delhi,Electric 4W,2240,3,September,2022-09,2080.0,1920.0,1800.0,2080.0,160.0,7.692307692307687
2022-10-01,2022,10,Delhi,Electric 4W,2500,4,October,2022-10,2240.0,2080.0,1920.0,2273.3333333333335,211.97484127446188,11.607142857142861
2022-11-01,2022,11,Delhi,Electric 4W,2720,4,November,2022-11,2500.0,2240.0,2080.0,2486.6666666666665,240.27761721253464,8.800000000000008
2022-12-01,2022,12,Delhi,Electric 4W,2880,4,December,2022-12,2720.0,2500.0,2240.0,2700.0,190.78784028338916,5.882352941176472
2021-01-01,2021,1,Karnataka,Electric 2W,3100,1,January,2021-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,2021,2,Karnataka,Electric 2W,3280,1,February,2021-02,3100.0,0.0,0.0,0.0,0.0,5.8064516129032295
2021-03-01,2021,3,Karnataka,Electric 2W,3740,1,March,2021-03,3280.0,3100.0,0.0,3373.3333333333335,330.0505011863083,14.02439024390243
2021-04-01,2021,4,Karnataka,Electric 2W,3600,2,April,2021-04,3740.0,3280.0,3100.0,3540.0,235.79652245103176,-3.7433155080213942
2021-05-01,2021,5,Karnataka,Electric 2W,3900,2,May,2021-05,3600.0,3740.0,3280.0,3746.6666666666665,150.11106998930248,8.333333333333325
2021-06-01,2021,6,Karnataka,Electric 2W,4200,2,June,2021-06,3900.0,3600.0,3740.0,3900.0,299.9999999999999,7.692307692307687
2021-07-01,2021,7,Karnataka,Electric 2W,4450,3,July,2021-07,4200.0,3900.0,3600.0,4183.333333333333,275.3785273643051,5.952380952380953
