Year,Month,State,Vehicle_Category,EV_Sales
2021,January,Maharashtra,Electric 2W,4200
2021,January,Maharashtra,Electric 3W,1800
2021,January,Maharashtra,Electric 4W,850
2021,January,Delhi,Electric 2W,2300
2021,January,Delhi,Electric 3W,2100
2021,January,Delhi,Electric 4W,700
2021,January,Karnataka,Electric 2W,3100
2021,January,Karnataka,Electric 3W,1200
2021,January,Karnataka,Electric 4W,640
2021,January,Uttar Pradesh,Electric 2W,2700
2021,January,Uttar Pradesh,Electric 3W,2500
2021,January,Uttar Pradesh,Electric 4W,500
2021,February,Maharashtra,Electric 2W,4450
2021,February,Maharashtra,Electric 3W,1900
2021,February,Maharashtra,Electric 4W,890
2021,February,Delhi,Electric 2W,2450
2021,February,Delhi,Electric 3W,2250
2021,February,Delhi,Electric 4W,760
2021,February,Karnataka,Electric 2W,3280
2021,February,Karnataka,Electric 3W,1320
2021,February,Karnataka,Electric 4W,690
2021,February,Uttar Pradesh,Electric 2W,2850
2021,February,Uttar Pradesh,Electric 3W,2630
2021,February,Uttar Pradesh,Electric 4W,540
2021,March,Maharashtra,Electric 2W,5100
2021,March,Maharashtra,Electric 3W,2200
2021,March,Maharashtra,Electric 4W,1010
2021,March,Delhi,Electric 2W,2860
2021,March,Delhi,Electric 3W,2490
2021,March,Delhi,Electric 4W,840
2021,March,Karnataka,Electric 2W,3740
2021,March,Karnataka,Electric 3W,1500
2021,March,Karnataka,Electric 4W,780
2021,March,Uttar Pradesh,Electric 2W,3300
2021,March,Uttar Pradesh,Electric 3W,2920
2021,March,Uttar Pradesh,Electric 4W,610
2021,April,Maharashtra,Electric 2W,4900
2021,April,Maharashtra,Electric 3W,2080
2021,April,Maharashtra,Electric 4W,960
2021,April,Delhi,Electric 2W,2700
2021,April,Delhi,Electric 3W,2400
2021,April,Delhi,Electric 4W,810
2021,April,Karnataka,Electric 2W,3600
2021,April,Karnataka,Electric 3W,1450
2021,April,Karnataka,Electric 4W,740
2021,April,Uttar Pradesh,Electric 2W,3180
2021,April,Uttar Pradesh,Electric 3W,2810
2021,April,Uttar Pradesh,Electric 4W,590
2021,May,Maharashtra,Electric 2W,5300
2021,May,Maharashtra,Electric 3W,2300
2021,May,Maharashtra,Electric 4W,1080
2021,May,Delhi,Electric 2W,3020
2021,May,Delhi,Electric 3W,2580
2021,May,Delhi,Electric 4W,900
2021,May,Karnataka,Electric 2W,3900
2021,May,Karnataka,Electric 3W,1600
2021,May,Karnataka,Electric 4W,830
